バギーが食べた、体をバラバラにすることができる悪魔の実は何の実でしょう？,バラバラ
アルビダが食べた、肌がスベスベになり、摩擦抵抗をなくすことができる悪魔の実は何の実でしょう？,スベスベ
ミス・バレンタインが食べた、自分の体重を1キログラムから1万キログラムまで変えることができる悪魔の実は何の実でしょう？,キロキロ
Mr.5が食べた、全身あらゆるところを起爆することができる悪魔の実は何の実でしょう？,ボムボム
ニコ・ロビンが食べた、体の一部を、一定範囲内のあらゆる場所から生やすことができる悪魔の実は何の実でしょう？,ハナハナ
Mr.3が食べた、体から蝋を搾り出し、操ることができる悪魔の実は何の実でしょう？,ドルドル
ワポルが食べた、いかなるものも食べることができる悪魔の実は何の実でしょう？,バクバク
Mr.2・ボン・クレーが食べた、右手で顔に触れた人物の姿・体格・声を記憶し、その人物に変身できる悪魔の実は何の実でしょう？,マネマネ
Mr.1が食べた、全身を刃物にすることができる悪魔の実は何の実でしょう？,スパスパ
ミス・ダブルフィンガーが食べた、体から鋭い棘を生やすことができる悪魔の実は何の実でしょう？,トゲトゲ
ヒナが食べた、体を錠にすることができる悪魔の実は何の実でしょう？,オリオリ
ベラミーが食べた、体をバネにすることができる悪魔の実は何の実でしょう？,バネバネ
ドンキホーテ・ドフラミンゴが食べた、体から糸を出すことができる悪魔の実は何の実でしょう？,イトイト
フォクシーが食べた、「ノロマ光子」の光線を放つことができる悪魔の実は何の実でしょう？,ノロノロ
ブルーノが食べた、触れた場所にドアを作り出すことができる悪魔の実は何の実でしょう？,ドアドア
カリファが食べた、体から泡を出し、操ることができる悪魔の実は何の実でしょう？,アワアワ
ベリーグッドが食べた、体の各部を果実のように丸く取ることができる悪魔の実は何の実でしょう？,ベリベリ
シュウが食べた、触れた金属を錆びつかせることができる悪魔の実は何の実でしょう？,サビサビ
シャリングルが食べた、体の各部を車輪にし、回転させることができる悪魔の実は何の実でしょう？,シャリシャリ
ブルックが食べた、死亡しても一度だけ蘇生することができる悪魔の実は何の実でしょう？,ヨミヨミ
ペローナが食べた、霊体を生み出すことや幽体離脱をすることができる悪魔の実は何の実でしょう？,ホロホロ
アブサロムが食べた、自分の体、およびその体に触れた人や物を透明にすることができる悪魔の実は何の実でしょう？,スケスケ
ゲッコー・モリアが食べた、影を支配することができる悪魔の実は何の実でしょう？,カゲカゲ
バーソロミュー・くまが食べた、掌に現れた肉球で、触れたものを弾き飛ばすことができる悪魔の実は何の実でしょう？,ニキュニキュ
ユースタス・キッドが食べた、磁力を操ることができる悪魔の実は何の実でしょう？,ジキジキ
トラファルガー・ローが食べた、一定範囲内の物体を改造したり、位置を入れ替えたりできる悪魔の実は何の実でしょう？,オペオペ
カポネ・ベッジが食べた、体を城にすることができる悪魔の実は何の実でしょう？,シロシロ
バジル・ホーキンスが食べた、他人の分身である藁人形を体に宿し、自分が受けたダメージを肩代わりさせることができる悪魔の実は何の実でしょう？,ワラワラ
